adaptive,attn_type,batch_chunk,batch_size,bptt_bp,clamp_len,clip,clip_nonemb,cuda,d_embed,d_head,d_inner,d_model,data,dataset,debug,decay_rate,device_ids,div_val,dropatt,dropout,dynamic_loss_scale,emb_init,emb_init_range,eta_min,eval_interval,eval_tgt_len,ext_len,finetune_v2,finetune_v3,fp16,gpu0_bsz,init,init_range,init_std,log_interval,lr,lr_min,max_eval_steps,max_step,mem_at_end,mem_backprop_depth,mem_len,mom,multi_gpu,n_all_param,n_head,n_layer,n_nonemb_param,n_token,not_tied,num_mem_tokens,optim,patience,pre_lnorm,proj_init_std,read_mem_from_cache,restart,restart_dir,same_length,sample_softmax,scheduler,seed,static_loss_scale,test loss,test ppl,tgt_len,tied,varlen,warmup_step,work_dir,test bpc,mem_recursion_depth
True,0,1,128,False,-1,0.25,False,True,410,41,2100,410,../data/wikitext-103,wt103,False,0.5,"[0, 1]",1,0.0,0.1,False,normal,0.01,0.0,4000,50,0,False,False,False,64,normal,0.1,0.02,200,0.00025,0.0,-1,200000,True,4.0,0,0.0,True,151111638,10,16,41066400,267735,False,10,adam,0,False,0.01,False,False,,False,-1,cosine,1337,1,3.26,26.070999999999998,50,True,False,0,./runs/base-mem-10-10-bpd-4-tgt-50-wt103/20220113-145707,,
True,0,1,60,,-1,0.25,False,True,410,41,2100,410,../data/wikitext-103,wt103,False,0.5,"[0, 1]",1,0.0,0.1,False,normal,0.01,0.0,4000,150,0,False,False,False,30,normal,0.1,0.02,200,0.00025,0.0,-1,200000,True,0.0,0,0.0,True,151107538,10,16,41066400,267735,False,150,adam,0,False,0.01,False,False,,False,-1,cosine,1338,1,3.27,26.371,150,True,False,0,./runs/base-mem-150-150-wt103/20211227-104016,,
True,0,1,60,,-1,0.25,False,True,410,41,2100,410,../data/wikitext-103,wt103,False,0.5,"[0, 1]",1,0.0,0.1,False,normal,0.01,0.0,4000,150,0,False,False,False,30,normal,0.1,0.02,200,0.00025,0.0,-1,200000,False,0.0,0,0.0,True,151169038,10,16,41066400,267735,False,150,adam,0,False,0.01,,False,,False,-1,cosine,1111,1,3.29,26.866999999999997,150,True,False,0,./runs/base-mem-150-150-wt103/20211208-112614,,0.0
True,0,1,128,False,-1,0.25,False,True,410,41,2100,410,../data/wikitext-103,wt103,False,0.5,"[0, 1]",1,0.0,0.1,False,normal,0.01,0.0,4000,50,0,False,False,False,64,normal,0.1,0.02,200,0.00025,0.0,-1,200000,True,3.0,0,0.0,True,151109588,10,16,41066400,267735,False,5,adam,0,False,0.01,False,False,,False,-1,cosine,1310,1,3.29,26.934,50,True,False,0,./runs/base-mem-5-5-bpd-3-tgt-50-wt103/20220122-013217,,
True,0,1,128,False,-1,0.25,False,True,410,41,2100,410,../data/wikitext-103,wt103,False,0.5,"[0, 1]",1,0.0,0.1,False,normal,0.01,0.0,4000,50,0,False,False,False,64,normal,0.1,0.02,200,0.00025,0.0,-1,200000,True,3.0,0,0.0,True,151109588,10,16,41066400,267735,False,5,adam,0,False,0.01,False,False,,False,-1,cosine,1337,1,3.28,26.565,50,True,False,0,./runs/base-mem-5-5-bpd-3-tgt-50-wt103/20211230-105151,,
True,0,1,60,,-1,0.25,False,True,410,41,2100,410,../data/wikitext-103,wt103,False,0.5,"[0, 1]",1,0.0,0.1,False,normal,0.01,0.0,4000,150,0,False,False,False,30,normal,0.1,0.02,200,0.00025,0.0,-1,200000,False,0.0,75,0.0,True,151107538,10,16,41066400,267735,False,0,adam,0,False,0.01,False,False,,False,-1,cosine,1111,1,3.21,24.671,150,True,False,0,./runs/base-txl-75-wt103/20211225-122539,,
True,0,1,60,False,-1,0.25,False,True,410,41,2100,410,../data/wikitext-103,wt103,False,0.5,"[0, 1]",1,0.0,0.1,False,normal,0.01,0.0,4000,150,0,False,False,False,30,normal,0.1,0.02,200,0.00025,0.0,-1,200000,False,0.0,75,0.0,True,151107538,10,16,41066400,267735,False,0,adam,0,False,0.01,False,False,,False,-1,cosine,1338,1,3.21,24.67,150,True,False,0,./runs/base-txl-75-wt103/20220120-111954,,
True,0,1,60,False,-1,0.25,False,True,410,41,2100,410,../data/wikitext-103,wt103,False,0.5,"[0, 1]",1,0.0,0.1,False,normal,0.01,0.0,4000,150,0,False,False,False,30,normal,0.1,0.02,200,0.00025,0.0,-1,200000,False,0.0,75,0.0,True,151107538,10,16,41066400,267735,False,0,adam,0,False,0.01,False,False,,False,-1,cosine,1352,1,3.21,24.693,150,True,False,0,./runs/base-txl-75-wt103/20220121-103038,,
True,0,1,128,False,-1,0.25,False,True,410,41,2100,410,../data/wikitext-103,wt103,False,0.5,"[0, 1]",1,0.0,0.1,False,normal,0.01,0.0,4000,50,0,False,False,False,64,normal,0.1,0.02,200,0.00025,0.0,-1,200000,True,1.0,0,0.0,True,151109588,10,16,41066400,267735,False,5,adam,0,False,0.01,False,False,,False,-1,cosine,1337,1,3.3,27.191,50,True,False,0,./runs/base-mem-5-5-bpd-1-tgt-50-wt103/20211229-004039,,
True,0,1,128,False,-1,0.25,False,True,410,41,2100,410,../data/wikitext-103,wt103,False,0.5,"[0, 1]",1,0.0,0.1,False,normal,0.01,0.0,4000,50,0,False,False,False,64,normal,0.1,0.02,200,0.00025,0.0,-1,200000,True,1.0,0,0.0,True,151109588,10,16,41066400,267735,False,5,adam,0,False,0.01,False,False,,False,-1,cosine,1310,1,3.29,26.904,50,True,False,0,./runs/base-mem-5-5-bpd-1-tgt-50-wt103/20220123-034546,,
